="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)"
="L28.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.329",="-0.222",="-0.197",="-0.413"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.698)",="(0.712)",="(0.738)",="(0.770)"
="L29.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.490",="0.361",="0.473"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.740)",="(0.768)",="(0.802)"
="L30.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.526",="-0.646"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.793)",="(0.820)"
="L31.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.423"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.903)"
="_cons",="0.090**",="0.092**",="0.088**",="0.077*",="0.089**",="0.083*",="0.076*",="0.076*",="0.076*",="0.071",="0.063",="0.055",="0.069",="0.063",="0.059",="0.044",="0.059",="0.029",="0.016",="0.038",="0.012",="0.046",="0.016",="0.011",="-0.001",="0.053",="-0.003",="-0.003",="-0.015",="0.014",="0.046"
="",="(0.033)",="(0.033)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="(0.035)",="(0.036)",="(0.036)",="(0.037)",="(0.038)",="(0.039)",="(0.040)",="(0.042)",="(0.043)",="(0.044)",="(0.046)",="(0.049)",="(0.052)",="(0.056)",="(0.061)",="(0.067)",="(0.075)",="(0.081)",="(0.089)",="(0.099)",="(0.108)",="(0.118)",="(0.132)",="(0.142)"
="N",="448",="448",="448",="448",="448",="448",="447",="446",="446",="446",="443",="441",="439",="437",="433",="428",="419",="410",="403",="396",="390",="382",="374",="364",="353",="342",="331",="321",="312",="303",="294"
="R-sq",="0.005",="0.005",="0.006",="0.018",="0.036",="0.041",="0.049",="0.049",="0.049",="0.050",="0.053",="0.054",="0.056",="0.054",="0.055",="0.050",="0.067",="0.084",="0.085",="0.091",="0.088",="0.097",="0.103",="0.098",="0.094",="0.109",="0.111",="0.111",="0.115",="0.111",="0.113"
="adj. R-sq",="-0.044",="-0.046",="-0.048",="-0.038",="-0.021",="-0.019",="-0.013",="-0.015",="-0.018",="-0.019",="-0.018",="-0.020",="-0.021",="-0.026",="-0.028",="-0.037",="-0.024",="-0.010",="-0.013",="-0.012",="-0.020",="-0.015",="-0.014",="-0.027",="-0.038",="-0.030",="-0.033",="-0.038",="-0.043",="-0.056",="-0.052"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
